Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27
B,A,B,B,B,C,B,B,A,C,C,C,B,C,C,C,C,B,C,D,B,A,C,B,B,C,A
B,A,C,B,B,A,B,B,A,C,C,B,C,C,B,C,C,B,B,C,D,A,C,B,B,C,C
B,A,C,B,C,A,B,A,A,C,C,B,B,C,B,C,B,B,B,C,B,A,C,B,B,C,C
B,A,C,B,B,A,B,B,A,C,C,B,B,C,B,C,C,B,A,C,B,A,C,B,B,C,D
B,A,C,B,B,A,B,B,A,C,A,B,B,C,B,C,C,B,B,C,B,A,C,B,B,C,D
A,A,C,B,B,D,C,B,A,C,C,B,A,B,D,C,C,B,B,C,B,A,C,B,B,C,B
B,D,B,B,B,A,B,B,A,C,C,B,B,C,B,A,C,B,B,C,D,A,C,B,B,C,C
B,A,C,B,B,A,B,B,A,B,C,B,B,A,B,C,C,B,B,C,B,A,C,B,B,C,C
B,D,C,B,B,A,B,B,A,D,C,B,B,C,B,A,C,B,B,D,B,A,C,B,B,C,C
B,A,C,B,B,A,B,B,A,D,C,B,B,C,A,C,C,B,B,C,B,A,C,B,D,C,C
B,A,C,B,B,A,B,B,A,C,B,C,B,C,B,C,A,B,B,C,B,A,C,B,C,C,C
B,A,D,B,B,B,B,B,A,C,C,B,B,C,B,C,C,B,B,C,B,A,C,A,C,A,A
B,A,C,B,B,D,B,B,A,C,C,B,B,C,B,C,C,B,B,C,B,A,C,B,B,C,C
B,A,C,C,B,A,B,B,A,C,C,B,B,C,B,C,C,B,B,C,B,A,C,A,B,B,C
B,A,C,B,B,A,B,B,A,A,C,B,B,C,B,C,C,B,B,C,B,A,C,B,B,C,C
B,D,C,B,B,A,B,B,A,C,C,B,B,C,B,C,C,B,B,C,B,A,C,B,B,C,C
B,A,C,B,B,A,D,B,A,C,D,B,B,C,B,C,C,B,B,C,B,A,C,B,B,A,A
A,C,D,B,B,A,B,B,A,C,C,B,B,C,B,C,C,B,B,C,B,A,C,B,B,C,D
B,A,C,C,B,A,B,A,A,C,C,C,A,C,B,C,C,A,B,C,B,A,C,B,B,A,C
B,A,C,B,B,A,C,B,A,B,A,B,C,C,A,C,C,B,B,C,B,A,C,B,B,C,C
B,A,C,B,B,C,B,B,A,D,C,B,A,C,B,D,C,B,B,C,B,A,C,B,B,C,C
B,A,C,A,C,A,B,B,A,C,A,B,B,C,B,C,C,B,B,C,B,A,D,A,B,C,C
B,A,C,B,B,A,B,B,C,C,C,B,B,C,B,C,C,B,B,B,B,A,C,B,B,C,B
B,C,C,B,B,A,B,B,A,C,C,B,B,D,B,C,C,B,B,C,B,A,A,B,B,C,C
B,A,C,A,C,A,D,B,B,A,C,B,B,C,B,C,C,B,B,C,C,A,C,D,B,C,C
A,A,C,B,B,A,B,B,D,C,C,B,B,C,B,C,C,B,D,C,C,A,C,B,C,C,C
B,A,C,B,B,A,B,B,A,C,C,B,B,A,B,C,C,B,B,C,B,A,C,B,B,C,C
D,A,C,B,B,A,B,B,B,C,C,B,B,C,B,C,C,B,B,C,B,A,A,A,B,C,C
B,B,C,C,A,A,B,B,A,C,C,B,B,C,B,C,C,B,B,C,B,A,C,B,B,A,C
