RG_3,RG_Q7,RG_Q11,RG_Q12,RG_Q13,RG_Q14,RG_Q16,RG_Q17,RG_Q18,RG_Q19,RG_Q20,RG_Q24,RG_Q25,RG_Q26,RG_Q27,B_Q1,B_Q6,B_Q8,B_Q9,B_Q10,B_Q13,B_Q14,B_Q15
B,A,C,B,B,A,B,D,A,B,C,C,B,A,A,A,C,A,C,D,B,A,B
D,A,C,A,B,C,D,B,A,B,A,C,B,B,D,A,A,A,D,B,B,D,C
D,A,C,A,D,D,C,B,A,B,C,C,A,B,B,A,B,A,C,D,B,D,B
D,A,D,A,C,D,A,B,A,B,A,A,A,B,A,A,C,A,C,D,B,C,B
B,D,C,A,B,D,D,B,A,B,C,C,B,B,A,A,C,A,C,D,B,D,B
D,D,C,A,B,A,D,D,C,B,C,C,B,D,B,A,C,A,C,D,B,D,B
D,A,A,A,B,A,D,B,A,B,C,A,D,B,A,D,D,A,C,D,D,D,B
D,A,D,A,B,A,C,B,A,B,C,A,B,B,A,A,B,A,C,D,B,D,C
D,A,C,A,B,A,B,B,A,B,B,C,C,B,D,C,C,B,C,B,B,D,C
C,A,D,A,C,A,D,C,A,B,C,C,C,B,A,D,D,A,C,D,B,D,B
D,B,C,A,B,C,C,B,B,B,C,B,B,B,A,A,C,A,C,A,B,D,C
D,C,B,B,B,B,D,B,D,B,B,C,D,C,A,A,A,A,B,D,D,D,B
D,A,A,D,B,D,D,B,A,D,C,C,B,B,A,C,B,A,C,D,B,D,B
D,A,C,A,B,A,D,B,C,B,C,B,B,B,A,A,C,B,C,D,B,C,B
D,A,C,A,B,A,C,B,A,C,C,C,B,A,A,A,C,A,D,D,B,D,D
B,A,C,C,B,A,D,B,A,C,A,C,B,B,D,A,C,B,C,D,C,D,B
D,C,A,C,C,A,D,B,A,C,C,C,B,B,B,C,D,B,C,B,B,D,B
D,B,D,A,B,D,D,B,A,C,C,B,B,B,A,C,C,A,C,A,B,D,C
A,A,C,B,B,A,A,C,A,D,C,C,B,B,D,A,C,B,C,B,B,D,C
D,A,C,A,B,D,D,B,C,B,C,C,A,B,A,A,D,C,C,C,B,D,B
D,B,C,A,A,A,B,B,C,B,C,B,B,C,A,A,C,B,C,D,C,C,B
D,A,C,A,D,D,D,A,C,B,C,C,D,B,A,A,D,A,C,D,C,D,B
D,A,C,A,B,D,B,B,A,B,D,C,D,B,A,A,C,C,C,A,B,B,B
D,A,B,A,B,A,D,B,A,B,C,C,B,B,D,A,C,D,C,D,D,D,C
D,A,C,D,B,A,D,B,A,B,C,C,B,C,A,A,A,C,C,D,B,D,D
D,A,C,A,B,A,D,B,A,C,C,C,B,C,A,A,C,A,C,D,B,D,C
C,B,D,A,B,A,D,B,B,B,D,C,B,A,A,A,C,D,A,D,B,D,B
D,D,C,A,C,A,D,B,A,D,D,C,B,B,A,A,C,D,A,D,C,D,B
D,B,C,A,C,A,D,B,A,B,C,C,B,A,A,A,A,C,C,B,B,D,B
D,A,C,A,A,B,C,B,A,B,B,C,B,B,A,A,D,C,B,D,C,D,B
D,A,C,D,B,A,B,D,B,B,C,C,B,C,A,C,C,A,A,D,B,D,B
D,A,D,A,B,A,D,B,A,A,C,B,C,B,A,B,C,A,C,D,D,D,B
D,A,A,B,D,D,B,B,A,A,C,C,B,B,A,D,C,A,C,C,B,D,A
