RG_3,RG_Q7,RG_Q11,RG_Q12,RG_Q13,RG_Q14,RG_Q16,RG_Q17,RG_Q18,RG_Q19,RG_Q20,RG_Q24,RG_Q25,RG_Q26,RG_Q27,B_Q1,B_Q6,B_Q8,B_Q9,B_Q10,B_Q13,B_Q14,B_Q15
D,B,C,A,D,D,A,C,B,B,C,D,A,A,C,D,D,C,C,D,D,D,B
A,A,C,D,B,D,C,B,A,A,A,C,A,C,C,C,C,A,B,D,B,B,A
D,A,A,A,D,A,C,B,C,B,B,C,C,B,B,B,B,C,D,A,C,C,D
B,A,C,D,A,C,C,C,D,A,C,C,B,B,C,A,C,D,A,A,D,A,B
C,C,A,A,A,A,A,B,C,B,A,D,B,B,A,B,C,B,B,D,D,D,D
B,A,A,A,D,D,B,C,A,B,C,C,C,B,D,C,B,B,A,C,B,B,A
B,B,C,B,C,A,A,A,A,B,C,D,B,B,B,A,D,B,B,B,B,A,A
A,D,C,C,D,A,A,C,B,B,C,C,C,B,A,A,C,A,B,A,C,D,A
D,A,D,A,C,C,A,C,C,B,C,A,A,C,D,A,C,C,A,B,B,D,A
A,A,D,A,B,B,B,A,D,A,A,A,A,B,D,A,C,D,A,C,B,D,A
C,A,D,C,A,C,D,B,A,A,C,C,A,D,C,D,C,B,A,D,A,D,D
A,A,C,C,B,C,B,B,D,D,B,D,C,A,A,B,B,A,A,B,D,D,B
D,A,D,C,B,C,D,C,C,B,A,C,A,D,A,D,C,A,D,A,B,A,A
D,C,C,B,A,D,D,D,A,B,B,A,C,B,B,A,D,A,D,A,B,B,C
C,C,C,A,C,B,D,B,D,D,B,C,A,A,B,A,D,B,D,B,B,D,A
B,A,B,A,B,A,D,A,A,D,A,D,A,B,B,A,B,B,C,A,A,D,A
D,B,C,A,C,D,A,B,A,B,B,A,C,A,D,A,D,A,D,A,B,A,B
D,A,B,D,B,C,C,B,C,D,A,A,D,B,A,C,A,D,B,D,A,D,A
C,B,A,B,A,C,B,B,C,A,C,C,B,B,C,A,C,A,C,B,B,D,A
C,B,D,C,A,C,D,A,A,C,C,C,D,B,A,A,C,C,C,B,D,D,C
B,C,D,C,B,C,D,B,B,B,D,A,C,A,D,B,D,A,C,A,B,C,B
B,A,C,A,D,C,A,D,A,B,C,D,A,B,C,D,A,A,C,B,A,A,B
D,B,A,A,A,A,C,B,C,B,C,A,B,B,A,A,D,D,C,B,A,D,D
D,D,D,B,B,A,B,A,C,D,A,A,C,B,B,A,A,B,B,B,B,D,B
D,A,B,A,C,D,B,C,B,B,C,B,B,B,B,D,A,A,A,A,B,A,B
B,D,D,A,D,D,C,A,C,B,D,C,D,A,A,A,C,A,D,B,B,D,C
C,C,C,D,B,C,C,B,A,C,C,A,C,A,B,C,B,C,A,D,C,D,C
B,D,C,A,B,A,C,D,A,A,D,C,C,A,C,A,A,D,A,D,A,D,C
C,C,D,D,C,D,D,A,A,D,C,A,C,A,B,B,B,D,A,C,B,D,D
D,C,A,A,C,A,A,B,D,A,C,B,B,C,C,C,C,D,C,D,C,B,A
C,A,C,A,B,D,D,B,C,D,B,A,B,B,B,C,A,A,A,C,B,C,C
D,A,C,D,A,D,B,B,B,C,C,D,C,D,D,B,D,A,B,C,B,D,B
A,A,D,A,B,D,D,C,A,A,A,D,C,C,A,B,A,A,B,C,B,C,B
B,D,A,A,B,D,C,C,C,C,A,D,A,B,C,A,A,A,D,D,B,D,B
C,D,A,A,B,D,D,B,D,B,C,C,B,C,A,A,B,B,D,D,C,C,B
D,C,D,D,D,D,D,A,D,B,C,B,B,B,A,A,C,A,C,B,C,D,A
B,B,B,A,C,B,C,D,B,D,D,C,B,C,C,D,D,D,A,C,A,B,C
