RG_3,RG_Q7,RG_Q11,RG_Q12,RG_Q13,RG_Q14,RG_Q16,RG_Q17,RG_Q18,RG_Q19,RG_Q20,RG_Q24,RG_Q25,RG_Q26,RG_Q27,B_Q1,B_Q6,B_Q8,B_Q9,B_Q10,B_Q13,B_Q14,B_Q15
C,A,C,A,C,A,D,B,A,A,C,B,D,A,D,A,C,A,C,C,B,D,A
B,C,D,D,B,A,C,D,A,B,C,A,C,C,A,A,C,D,C,C,B,D,D
D,C,A,C,B,A,D,A,D,B,A,C,B,A,A,A,A,A,B,A,B,D,B
D,A,C,C,C,A,D,B,A,D,D,A,B,C,B,A,D,A,C,D,C,A,A
B,D,C,D,B,B,D,D,A,C,C,C,B,A,C,D,A,C,C,C,B,D,A
C,C,B,A,B,B,D,B,B,A,A,A,B,A,A,A,A,A,A,B,B,C,B
D,A,D,A,B,A,D,A,D,A,C,C,D,B,A,A,B,A,A,C,B,D,B
B,D,C,A,B,C,D,B,A,A,A,C,A,A,A,A,C,A,D,D,A,D,A
B,C,C,A,B,D,D,B,A,B,C,B,B,C,A,A,B,A,C,B,B,C,B
D,A,C,A,B,B,D,B,A,D,C,D,C,C,D,C,C,C,A,B,D,D,B
B,B,C,A,B,A,D,D,C,D,B,D,B,B,A,C,C,C,C,B,B,A,C
D,A,C,D,D,B,A,C,C,B,D,C,B,C,D,B,C,A,B,D,A,A,B
D,A,B,C,B,C,A,B,A,B,C,C,B,A,A,A,C,A,A,C,D,B,B
D,B,C,A,C,A,D,D,A,A,C,A,B,B,A,A,C,A,C,D,B,C,D
A,C,D,A,C,B,B,B,B,B,A,A,B,B,A,D,D,A,D,D,B,D,B
D,D,C,C,B,A,D,B,A,B,C,D,D,B,D,A,A,D,C,D,B,D,B
B,D,A,A,A,A,D,A,D,B,A,C,C,C,D,B,B,B,A,D,A,D,B
D,A,B,A,B,D,D,B,A,B,D,B,B,C,B,D,C,C,C,D,B,D,B
D,A,C,D,A,A,B,C,B,B,C,A,C,B,A,D,D,A,C,D,B,D,B
D,A,A,A,B,A,D,B,A,A,B,C,B,B,A,A,A,A,C,D,B,D,A
D,A,C,A,B,C,D,D,B,B,D,A,D,B,A,A,C,D,D,D,D,D,C
D,A,B,A,B,A,B,B,B,B,B,B,D,B,A,D,C,B,D,A,B,A,B
A,A,C,C,B,A,A,B,A,B,D,C,B,C,B,C,C,A,C,A,B,D,B
D,C,C,C,B,A,B,D,A,B,C,B,A,B,A,C,C,D,C,A,C,D,B
D,D,B,D,B,D,D,D,A,B,C,C,A,B,A,D,C,A,C,D,D,D,B
B,C,C,B,B,C,A,D,A,C,B,C,B,B,A,A,C,D,A,D,A,D,C
D,D,D,A,D,B,C,B,A,B,C,B,B,B,C,A,C,B,D,D,B,C,B
C,C,C,A,C,B,A,B,A,C,C,A,B,B,D,D,B,A,C,A,B,D,B
