RG_3,RG_Q7,RG_Q11,RG_Q12,RG_Q13,RG_Q14,RG_Q16,RG_Q17,RG_Q18,RG_Q19,RG_Q20,RG_Q24,RG_Q25,RG_Q26,RG_Q27,B_Q1,B_Q6,B_Q8,B_Q9,B_Q10,B_Q13,B_Q14,B_Q15
D,C,A,B,A,C,D,D,D,D,A,C,A,B,C,B,C,D,C,A,A,A,A
C,D,C,C,A,A,D,D,A,A,A,A,C,C,B,D,C,D,C,A,B,D,B
C,D,C,C,B,D,B,B,C,C,C,D,A,B,A,B,A,C,D,D,D,C,B
B,B,D,A,A,B,A,C,D,A,A,D,B,D,D,A,A,C,D,D,D,A,D
A,A,C,D,D,B,C,B,B,D,D,B,D,D,C,B,A,B,C,A,C,C,B
D,C,C,D,B,A,D,B,C,B,C,A,C,B,D,A,C,D,C,A,D,A,A
B,A,C,C,D,C,B,A,B,B,C,A,D,B,C,A,C,C,C,D,B,C,D
D,D,C,C,B,D,B,A,C,C,A,A,D,B,A,A,C,A,C,A,D,A,B
C,B,C,A,D,C,D,D,B,B,D,C,B,C,A,D,C,B,C,D,D,D,D
D,A,B,B,C,A,A,D,A,D,B,D,B,D,C,C,A,D,C,D,A,A,A
D,D,A,B,D,D,D,A,D,C,D,C,D,D,A,C,D,D,C,D,B,C,A
A,C,C,C,C,C,D,B,A,B,D,C,B,C,B,A,C,A,A,D,B,D,A
D,A,B,A,B,A,D,B,B,A,A,C,B,B,B,B,A,D,D,A,B,C,B
B,C,A,A,D,B,C,B,B,B,D,D,B,C,B,C,D,D,C,D,A,C,C
D,D,C,A,B,B,A,D,A,B,C,D,D,D,C,B,A,D,C,A,C,D,A
D,C,C,B,C,B,D,D,A,D,D,A,A,D,C,A,C,C,C,C,D,D,B
B,C,C,C,A,A,C,C,A,B,B,C,C,B,D,C,A,B,C,C,D,C,B
B,D,D,A,C,A,D,B,C,B,A,C,C,B,A,B,C,C,C,B,C,C,B
B,C,C,B,C,A,D,C,D,C,C,B,C,B,B,C,D,D,C,A,C,C,B
A,A,B,A,C,A,B,A,C,D,B,C,B,B,B,A,B,C,B,A,B,D,B
D,D,C,D,B,A,B,B,A,D,B,D,A,C,C,D,C,A,C,D,B,D,B
C,A,A,B,D,B,D,A,B,A,D,C,B,B,C,D,B,D,C,A,B,D,D
B,C,A,A,D,A,D,B,A,B,D,C,D,A,D,A,C,C,D,D,D,C,A
A,A,C,D,C,C,D,D,A,A,C,A,B,C,D,A,A,D,C,A,A,A,B
A,A,C,D,D,A,C,D,A,B,C,B,C,D,A,C,C,A,D,A,B,B,B
D,A,A,A,C,A,D,D,B,B,A,D,A,A,C,B,C,A,C,B,D,A,C
D,D,B,A,C,B,B,B,D,A,C,B,A,D,C,D,C,A,A,A,D,C,A
B,A,D,A,D,A,C,A,A,B,C,D,B,D,A,A,D,C,D,C,B,C,B
D,C,B,A,D,A,B,D,B,C,C,C,D,B,A,B,C,B,B,D,B,A,B
D,A,B,D,B,C,A,B,D,A,D,C,B,A,D,C,C,C,B,D,D,C,D
D,C,A,C,D,C,C,A,D,C,B,B,D,A,D,C,C,D,C,A,D,D,B
C,C,A,A,A,A,B,A,A,D,B,B,A,B,A,D,C,D,C,C,C,D,C
