Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
T,C,C,T,A,B,B,A,C,A,A,F
T,C,C,T,A,B,C,A,C,A,C,T
T,C,B,T,A,B,C,A,C,D,A,F
T,C,C,T,B,D,C,A,B,A,A,T
T,A,C,T,A,C,C,B,C,C,C,F
F,D,C,F,A,D,C,C,C,A,C,F
T,C,C,T,A,C,C,A,C,A,C,F
T,C,B,F,A,B,D,A,C,B,C,F
F,C,B,T,A,B,C,D,C,D,C,F
T,C,C,T,C,B,C,A,C,A,C,F
F,D,C,T,C,B,C,A,C,A,C,T
T,D,C,T,B,A,A,A,D,A,C,T
T,C,C,F,A,B,C,A,D,B,D,F
T,A,C,T,A,B,C,A,D,A,C,F
T,D,D,F,B,B,A,B,A,A,C,F
T,C,C,T,A,B,C,A,C,A,D,T
T,C,C,F,B,D,A,A,A,A,B,T
F,B,C,T,A,B,C,A,C,C,C,T
T,A,C,T,D,B,C,B,B,D,C,F
T,C,C,T,A,B,C,B,C,A,C,T
F,C,C,T,A,B,C,A,C,A,C,F
T,C,D,T,A,B,C,C,B,B,C,F
F,C,C,T,A,B,C,A,D,A,C,F
T,A,B,F,A,B,A,A,A,A,C,F
F,C,B,F,A,D,B,D,C,A,C,T
F,C,C,T,C,B,B,A,A,A,C,F
T,C,C,T,A,B,C,A,D,A,A,F
F,C,C,T,A,B,D,A,D,A,C,F
T,C,C,F,A,B,C,B,A,A,C,F
F,C,D,T,A,A,C,D,A,A,C,T
T,B,C,F,A,B,C,A,A,D,A,F
F,C,C,F,A,B,C,A,D,A,C,F
T,C,C,F,A,C,C,C,D,A,C,F
T,C,B,T,D,B,C,A,A,A,B,F
