Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
T,D,D,F,A,B,B,A,C,A,B,F
F,D,C,F,D,B,D,D,D,D,B,T
F,C,A,F,D,A,C,D,C,A,B,F
F,D,A,F,A,B,C,D,D,A,A,T
T,D,A,F,A,B,D,A,B,B,C,F
F,D,C,T,D,A,B,D,C,C,C,T
F,C,A,T,A,A,C,B,C,D,B,T
F,A,C,T,C,B,C,B,C,A,C,T
F,C,C,F,B,D,C,D,D,C,C,T
F,B,C,F,B,A,A,A,C,C,D,T
F,B,D,F,A,C,B,C,B,A,D,T
T,A,D,T,A,B,C,B,B,C,D,T
F,D,C,T,A,C,C,A,C,D,B,T
F,D,D,F,D,C,B,A,B,D,C,T
T,B,C,F,D,C,D,D,C,B,D,T
F,B,A,T,A,D,C,C,C,A,B,T
F,C,D,F,D,A,C,C,C,B,D,T
T,C,A,T,D,D,A,D,B,C,A,T
F,A,D,F,B,B,B,C,B,C,D,T
F,C,A,F,C,B,C,A,A,B,B,T
T,D,B,T,A,B,C,C,D,D,C,T
F,C,C,F,C,A,C,D,C,D,A,T
F,A,A,T,C,C,A,D,A,A,C,F
F,C,D,F,B,A,D,D,A,C,C,T
F,D,C,F,C,A,A,C,B,C,C,F
F,C,A,T,A,C,A,C,D,B,B,T
F,D,C,T,C,B,A,C,B,D,B,T
T,A,C,F,C,B,B,A,C,D,C,F
T,B,C,T,C,A,D,D,D,A,B,T
F,B,A,F,B,B,B,D,C,B,B,T
F,C,C,F,C,A,C,C,D,B,B,T
T,C,D,T,A,D,C,C,B,A,C,T
F,A,A,T,D,A,C,C,C,A,A,F
F,A,C,F,D,D,D,A,A,B,D,T
T,C,B,F,C,B,A,A,C,C,A,T
F,D,D,F,D,A,D,A,A,A,B,T
F,D,C,T,D,A,C,C,A,B,C,T
F,D,B,F,A,A,C,B,D,C,B,T
