Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
F,A,C,T,D,B,B,A,C,A,A,F
T,C,A,F,A,B,D,A,D,A,C,F
T,C,C,T,D,A,C,A,C,A,A,F
F,C,C,T,A,D,C,B,C,A,C,F
T,B,C,T,B,B,A,D,C,B,C,T
F,C,A,F,A,C,C,A,A,B,C,F
T,D,C,F,A,B,A,A,C,A,A,T
T,B,C,F,A,B,C,A,C,B,C,T
F,D,B,T,A,C,C,A,C,A,C,T
F,A,B,T,A,C,C,A,C,A,C,F
F,D,D,T,A,B,D,A,A,A,C,T
T,C,C,T,B,B,A,B,B,C,C,F
T,A,C,F,A,B,C,A,D,A,C,F
F,C,A,T,A,B,C,A,C,A,D,T
F,D,C,F,A,B,C,C,C,A,C,T
T,C,C,T,A,D,C,D,B,A,C,T
T,C,C,F,A,B,C,A,A,A,C,F
T,C,A,T,D,B,C,C,C,A,C,T
T,C,C,F,A,B,B,C,D,A,A,T
T,C,C,T,A,B,D,A,C,B,D,F
T,C,C,F,D,B,B,D,C,A,C,T
T,C,C,T,C,C,C,A,C,C,C,F
T,D,C,T,A,B,C,A,D,B,C,T
T,B,C,T,A,B,B,D,D,A,C,T
F,C,C,T,A,D,C,A,A,A,C,F
T,C,A,F,C,D,D,D,C,C,C,T
T,B,C,T,A,B,A,A,A,A,A,F
T,B,A,T,C,B,C,A,A,A,C,F
F,C,A,T,A,C,C,A,B,B,C,T
