Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
T,D,A,F,B,C,A,D,C,C,A,T
F,C,C,F,D,B,C,D,D,B,C,F
F,A,A,F,A,C,D,C,C,D,B,T
F,A,A,T,A,B,A,C,B,B,B,T
F,B,B,F,B,A,C,B,C,C,C,T
F,A,A,T,A,D,D,D,B,B,C,T
F,D,B,F,D,D,B,C,A,A,B,F
F,C,C,T,B,A,C,B,A,A,C,T
T,D,A,F,B,D,B,B,B,C,C,F
F,B,A,F,A,C,C,D,C,D,C,T
F,D,C,T,B,B,A,C,C,A,B,T
F,D,B,F,D,C,C,D,C,C,D,F
F,C,D,F,B,D,B,D,B,A,A,T
T,D,D,F,C,C,C,A,C,B,B,T
T,B,C,T,A,A,A,D,D,C,C,T
F,D,B,F,C,A,D,C,B,C,C,T
T,B,A,F,B,B,A,B,C,D,B,T
F,C,D,F,D,B,A,C,D,C,D,F
F,B,D,F,D,B,A,B,D,B,C,T
T,C,B,F,C,D,C,D,D,A,C,T
F,A,A,F,D,C,C,D,B,B,C,T
F,B,A,T,C,A,A,D,A,C,A,T
F,D,C,F,C,A,D,A,C,D,D,T
F,C,A,F,C,B,B,D,D,C,A,T
F,C,D,T,A,A,B,A,A,B,B,T
F,D,B,T,A,B,C,A,C,D,A,T
F,B,D,F,C,D,A,C,B,A,D,T
F,C,C,T,C,D,C,A,B,A,B,F
F,D,C,F,A,B,A,B,C,A,C,T
F,A,D,F,C,A,D,C,C,B,C,F
F,D,C,F,B,A,D,B,A,C,D,T
F,A,A,F,A,D,C,D,B,B,A,T
F,A,B,F,B,B,A,A,D,C,A,T
